,date,category,title,amount
1,2024-05-24,transporte,Uber *Uber *Trip,55.75
5,2024-05-24,transporte,Uber *Uber *Trip,14.15
16,2024-05-20,transporte,Uber *Uber *Trip,12.7
22,2024-05-17,transporte,Uber *Uber *Trip,11.32
26,2024-05-16,outros,Sesc,15.0
27,2024-05-15,outros,Sesc,18.0
29,2024-05-15,outros,Sesc,18.0
34,2024-05-11,transporte,Uber *Uber *Trip,31.99
39,2024-05-08,outros,Sesc,15.0
54,2024-05-01,transporte,Uber *Uber *Trip,39.41
62,2024-04-29,outros,Amazonprimebr,19.9
64,2024-04-29,transporte,Uber *Uber *Trip,24.51
