,date,category,title,amount
1,2024-04-18,supermercado,Lojas Americanas,18.99
4,2024-04-18,transporte,Uber *Uber *Trip,29.91
6,2024-04-17,transporte,Uber *Uber *Trip,8.15
8,2024-04-17,supermercado,Lojas Americanas,20.98
17,2024-04-13,transporte,Uber *Uber *Trip,46.0
22,2024-04-12,transporte,Uber *Uber *Trip,10.28
27,2024-04-11,transporte,Uber *Uber *Trip,9.23
31,2024-04-11,transporte,Uber *Uber *Trip,19.63
43,2024-04-06,outros,Sesc,15.0
53,2024-03-29,outros,Amazonprimebr,14.9
