,date,category,title,amount
2,2024-02-24,transporte,Uber *Uber *Trip,9.73
3,2024-02-23,transporte,Uber *Uber *Trip,41.62
8,2024-02-21,eletrônicos,Amazon Marketplace,77.37
9,2024-02-21,transporte,Uber *Uber *Trip,12.36
10,2024-02-20,eletrônicos,Amazon Marketplace,52.72
11,2024-02-20,eletrônicos,Amazon Marketplace,80.93
13,2024-02-20,transporte,Uber *Uber *Trip,14.59
15,2024-02-20,transporte,Uber *Uber *Trip,36.76
16,2024-02-18,transporte,Uber *Uber *Trip,22.48
19,2024-02-16,restaurante,Lanchao,42.5
27,2024-02-11,transporte,Uber *Uber *Trip,7.62
28,2024-02-11,transporte,Uber *Uber *Trip,15.89
31,2024-02-08,outros,Sesc,15.0
32,2024-02-07,transporte,Uber *Uber *Trip,7.76
35,2024-02-04,transporte,Uber *Uber *Trip,18.47
39,2024-02-02,transporte,Uber *Uber *Trip,10.99
40,2024-01-31,transporte,Uber *Uber *Trip,28.2
42,2024-01-29,outros,Amazonprimebr,14.9
45,2024-01-28,transporte,Uber *Uber *Trip,10.39
