,date,category,title,amount
0,2024-03-24,transporte,Uber *Uber *Trip,29.11
1,2024-03-24,transporte,Uber *Uber *Trip,24.13
3,2024-03-21,outros,Sesc,15.0
12,2024-03-13,transporte,Uber *Uber *Trip,9.73
14,2024-03-10,transporte,Uber *Uber *Trip,20.37
15,2024-03-10,transporte,Uber *Uber *Trip,16.27
19,2024-03-09,transporte,Uber *Uber *Trip,15.86
30,2024-03-01,outros,Sesc,15.0
31,2024-02-29,outros,Amazonprimebr,14.9
39,2024-02-26,transporte,Uber *Uber *Trip,33.03
