,date,category,title,amount
5,2024-06-23,supermercado,Lojas Americanas,12.98
7,2024-06-22,transporte,Uber *Uber *Trip,8.47
9,2024-06-22,transporte,Uber *Uber *Trip,9.02
13,2024-06-19,transporte,Uber *Uber *Trip,7.98
20,2024-06-17,transporte,Uber *Uber *Trip,34.9
25,2024-06-16,transporte,Uber *Uber *Trip,14.95
26,2024-06-15,transporte,Uber *Uber *Trip,14.96
34,2024-06-11,eletrônicos,Amazon Marketplace,105.99
36,2024-06-11,eletrônicos,Amazon Marketplace,58.74
41,2024-06-10,eletrônicos,Amazon Marketplace,69.0
46,2024-06-09,eletrônicos,Amazon Marketplace,124.9
52,2024-06-05,eletrônicos,Amazon Marketplace,38.76
64,2024-05-30,supermercado,Lojas Americanas,20.98
67,2024-05-29,outros,Amazonprimebr,19.9
