,date,category,title,amount
0,2024-08-25,saúde,Drogaria Sao Paulo,14.29
1,2024-08-25,transporte,Uber *Uber *Trip,16.89
2,2024-08-25,transporte,Uber *Uber *Trip,12.82
7,2024-08-24,outros,Sesc,18.0
13,2024-08-20,viagem,Autoban,13.0
15,2024-08-20,viagem,Autoban,12.8
17,2024-08-20,viagem,Autoban,11.4
22,2024-08-18,viagem,Autoban,12.8
24,2024-08-18,viagem,Autoban,13.0
25,2024-08-18,viagem,Autoban,11.4
37,2024-08-13,viagem,Autoban,12.8
40,2024-08-13,viagem,Autoban,13.0
46,2024-08-10,viagem,Autoban,12.8
47,2024-08-10,viagem,Autoban,13.0
54,2024-08-06,eletrônicos,Amazon Marketplace,54.42
73,2024-07-29,outros,Amazonprimebr,19.9
77,2024-07-27,viagem,Autoban,12.8
80,2024-07-27,viagem,Autoban,13.0
82,2024-07-26,viagem,Autoban,11.4
